Date:  23:26, ÐÇÆÚÈÕ, °ËÔÂ 30, 2020
Model name:Boeing 747-simple_thermal
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
221  ,114.447     ,841.25  ,-116.36  ,-25.1
222  ,114.449     ,842.02  ,-112.76  ,-27.824
223  ,114.438     ,849.87  ,-121.96  ,-27.873
224  ,114.432     ,857.73  ,-131.16  ,-27.922
225  ,114.430     ,865.58  ,-140.36  ,-27.97
226  ,114.434     ,857.22  ,-121.96  ,-27.656
227  ,114.430     ,865.58  ,-133.04  ,-27.747
228  ,109.685     ,333.58  ,-110.88  ,13.884
229  ,110.124     ,326.74  ,-110.88  ,10.628
230  ,110.349     ,323.32  ,-110.88  ,3.8595
231  ,108.910     ,335.86  ,-122.87  ,2.557
232  ,107.727     ,348.33  ,-134.79  ,1.253
233  ,106.482     ,360.68  ,-146.68  ,-0.0042284
234  ,106.691     ,360.68  ,-143.76  ,6.2067
235  ,107.033     ,360.68  ,-137.92  ,9.8048
236  ,107.890     ,351.68  ,-128.93  ,11.144
237  ,108.737     ,342.64  ,-119.92  ,12.511
238  ,110.224     ,324.57  ,-110.88  ,-3.2439
239  ,109.808     ,330.45  ,-110.88  ,-8.5926
240  ,108.720     ,340.57  ,-120.84  ,-9.1362
241  ,107.759     ,350.66  ,-130.77  ,-9.7075
242  ,106.785     ,360.68  ,-140.66  ,-10.279
243  ,106.669     ,360.68  ,-142.74  ,-9.2192
244  ,106.492     ,360.68  ,-146.03  ,-5.1721
245  ,105.496     ,373.61  ,-150.88  ,7.9563
246  ,105.899     ,366.66  ,-150.88  ,3.7713
247  ,105.925     ,365.24  ,-150.88  ,-4.2183
248  ,104.375     ,375.5  ,-160.89  ,-5.0047
249  ,102.091     ,385.62  ,-170.9  ,-5.6928
250  ,98.620      ,395.61  ,-180.89  ,-6.278
251  ,90.000      ,405.46  ,-190.88  ,-6.766
252  ,90.000      ,406.65  ,-190.88  ,-0.084564
253  ,90.000      ,412.46  ,-190.88  ,3.416
254  ,97.132      ,402.92  ,-180.89  ,4.3655
255  ,101.222     ,393.27  ,-170.9  ,5.4361
256  ,103.792     ,383.5  ,-160.89  ,6.6343
257  ,105.651     ,368.97  ,-150.88  ,-9.707
258  ,104.991     ,378.51  ,-150.88  ,-11.218
259  ,103.117     ,388.18  ,-160.89  ,-11.693
260  ,100.280     ,397.75  ,-170.89  ,-12.085
261  ,95.872      ,407.21  ,-180.89  ,-12.389
262  ,90.000      ,416.56  ,-190.88  ,-12.611
263  ,90.000      ,409.87  ,-190.88  ,-12.125
264  ,90.000      ,415.31  ,-200.88  ,-7.4852
265  ,90.000      ,424.94  ,-210.88  ,-7.7817
266  ,90.000      ,434.46  ,-220.88  ,-7.9979
267  ,90.000      ,443.89  ,-230.88  ,-8.1394
268  ,90.000      ,444.73  ,-230.88  ,-2.3659
269  ,90.000      ,449.69  ,-230.88  ,0.69275
270  ,90.000      ,440.52  ,-220.88  ,1.2244
271  ,90.000      ,431.26  ,-210.88  ,1.8511
272  ,90.000      ,421.91  ,-200.88  ,2.5794
273  ,90.000      ,416.11  ,-200.73  ,-0.89785
274  ,90.000      ,426.5  ,-200.88  ,-12.677
275  ,90.000      ,435.65  ,-210.88  ,-12.752
276  ,90.000      ,444.72  ,-220.88  ,-12.758
277  ,90.000      ,453.72  ,-230.88  ,-12.7
278  ,90.000      ,448.01  ,-230.88  ,-12.572
279  ,91.693      ,453.38  ,-240.87  ,-8.6639
280  ,94.514      ,462.63  ,-250.87  ,-8.6539
281  ,97.802      ,471.8  ,-260.87  ,-8.5869
282  ,101.211     ,480.91  ,-270.88  ,-8.4682
283  ,101.178     ,480.69  ,-270.88  ,-4.9965
284  ,101.485     ,482.49  ,-270.88  ,-2.024
285  ,102.028     ,485.67  ,-270.88  ,-0.61591
286  ,98.631      ,476.77  ,-260.87  ,-0.39808
287  ,95.310      ,467.81  ,-250.87  ,-0.11178
288  ,92.301      ,458.78  ,-240.88  ,0.24962
289  ,99.459      ,476.41  ,-265.6  ,-3.6088
290  ,94.577      ,463.09  ,-250.84  ,-3.1129
291  ,91.709      ,453.72  ,-240.68  ,-2.8772
292  ,90.000      ,454.71  ,-230.88  ,-12.585
293  ,92.927      ,463.6  ,-240.88  ,-12.474
294  ,96.063      ,472.42  ,-250.88  ,-12.31
295  ,99.379      ,481.19  ,-260.88  ,-12.096
296  ,102.744     ,489.91  ,-270.88  ,-11.838
297  ,101.892     ,484.94  ,-270.88  ,-12.033
298  ,104.740     ,490.17  ,-280.86  ,-8.8357
299  ,108.525     ,499.13  ,-290.86  ,-8.6096
300  ,112.800     ,508.06  ,-300.86  ,-8.3494
301  ,120.000     ,516.95  ,-310.88  ,-8.0605
302  ,120.000     ,516.49  ,-310.88  ,-4.982
303  ,120.000     ,517.96  ,-310.88  ,-2.2409
304  ,120.000     ,520.79  ,-310.88  ,-0.93492
305  ,113.912     ,512.05  ,-300.87  ,-0.92449
306  ,109.376     ,503.3  ,-290.86  ,-0.87223
307  ,105.528     ,494.5  ,-280.87  ,-0.77156
308  ,103.211     ,486.33  ,-276.42  ,-3.4456
309  ,115.937     ,512.6  ,-306.06  ,-3.8063
310  ,108.540     ,499.14  ,-290.8  ,-3.6517
311  ,112.919     ,508.2  ,-300.97  ,-3.5908
312  ,104.691     ,490.03  ,-280.65  ,-3.6679
313  ,102.952     ,491.12  ,-270.88  ,-11.7
314  ,107.678     ,502.6  ,-284.2  ,-11.305
315  ,113.300     ,514.03  ,-297.54  ,-10.85
316  ,120.000     ,525.41  ,-310.88  ,-10.348
317  ,120.000     ,521  ,-310.88  ,-10.746
318  ,104.472     ,492.89  ,-277.12  ,-11.931
319  ,120.000     ,526.1  ,-320.86  ,-8.3017
320  ,120.000     ,534.9  ,-330.85  ,-7.9509
321  ,120.000     ,543.68  ,-340.86  ,-7.5883
322  ,120.000     ,552.47  ,-350.88  ,-7.2188
323  ,120.000     ,551.74  ,-350.88  ,-4.4994
324  ,120.000     ,552.9  ,-350.88  ,-1.9333
325  ,120.000     ,555.43  ,-350.88  ,-0.69156
326  ,120.000     ,546.77  ,-340.86  ,-0.78212
327  ,120.000     ,538.12  ,-330.85  ,-0.85718
328  ,120.000     ,529.46  ,-320.86  ,-0.91028
329  ,120.000     ,521.45  ,-315.93  ,-3.4674
330  ,120.000     ,548.14  ,-346.48  ,-3.4197
331  ,120.000     ,534.43  ,-330.78  ,-3.4911
332  ,120.000     ,543.37  ,-340.95  ,-3.3071
333  ,120.000     ,525.48  ,-320.63  ,-3.6563
334  ,120.000     ,526.74  ,-310.88  ,-10.198
335  ,120.000     ,537.99  ,-324.2  ,-9.6699
336  ,120.000     ,549.24  ,-337.53  ,-9.1167
337  ,120.000     ,560.48  ,-350.88  ,-8.5496
338  ,120.000     ,528.13  ,-316.59  ,-10.358
339  ,119.990     ,561.62  ,-360.85  ,-7.3632
340  ,119.974     ,570.35  ,-370.84  ,-6.9765
341  ,119.963     ,579.1  ,-380.85  ,-6.5986
342  ,119.958     ,587.87  ,-390.88  ,-6.2345
343  ,119.958     ,586.88  ,-390.88  ,-3.8931
344  ,119.958     ,587.73  ,-390.88  ,-1.4963
345  ,119.958     ,589.98  ,-390.88  ,-0.30629
346  ,119.965     ,578.42  ,-377.51  ,-0.42541
347  ,119.983     ,566.91  ,-364.18  ,-0.55885
348  ,119.997     ,556.11  ,-355.5  ,-3.093
349  ,119.960     ,583.54  ,-386.91  ,-2.8373
350  ,119.975     ,569.43  ,-370.78  ,-3.0133
351  ,119.963     ,578.34  ,-380.94  ,-2.8055
352  ,119.991     ,560.53  ,-360.64  ,-3.2273
353  ,120.000     ,561.85  ,-350.88  ,-8.3919
354  ,119.978     ,572.63  ,-363.76  ,-7.8509
355  ,119.962     ,583.43  ,-376.66  ,-7.3175
356  ,119.957     ,594.27  ,-389.57  ,-6.8019
357  ,119.957     ,595.37  ,-390.88  ,-6.751
358  ,119.957     ,592.72  ,-390.88  ,-7.0558
359  ,119.958     ,590.16  ,-390.88  ,-7.2867
360  ,119.959     ,587.47  ,-386.86  ,-7.42
361  ,119.957     ,593.84  ,-392.2  ,-7.0035
362  ,119.956     ,600.58  ,-400.09  ,-6.6967
363  ,119.956     ,601.36  ,-401  ,-6.6623
364  ,119.956     ,599.53  ,-401  ,-6.875
365  ,119.957     ,597.07  ,-401  ,-6.1748
366  ,119.957     ,595.82  ,-401  ,-3.94
367  ,119.957     ,596.52  ,-401  ,-1.4796
368  ,119.956     ,598.76  ,-401  ,-0.23501
369  ,119.957     ,590.55  ,-394.81  ,-2.5122
370  ,119.957     ,592.34  ,-394.79  ,-6.8315
371  ,119.957     ,594.86  ,-397.33  ,-6.8572
372  ,119.956     ,605.57  ,-390.88  ,-5.5632
373  ,119.955     ,613.62  ,-401  ,-5.2398
374  ,113.561     ,820.58  ,-7.6298  ,-39.126
375  ,107.326     ,820.58  ,-7.6679  ,-54.722
376  ,101.325     ,820.58  ,-7.4423  ,-70.316
377  ,96.232      ,820.58  ,-6.9193  ,-85.903
378  ,92.059      ,820.58  ,-6.0085  ,-101.47
379  ,88.278      ,820.58  ,-4.4531  ,-116.98
380  ,84.809      ,820.58  ,-1.3677E-14  ,-131.51
381  ,78.473      ,834.49  ,-1.0994E-14  ,-141.26
382  ,73.723      ,848.4  ,-8.3107E-15  ,-151
383  ,70.000      ,865.58  ,-3.2545  ,-151
384  ,70.000      ,865.58  ,-4.3816  ,-135.64
