Date:  17:02, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
148  ,149.791     ,11.94999981  ,-3.37749910  ,12.62851334
149  ,148.543     ,11.94999981  ,-3.37749910  ,11.96385479
150  ,147.210     ,11.94999981  ,-3.37749910  ,11.29919624
151  ,145.798     ,11.94999981  ,-3.37749910  ,10.63453770
152  ,144.313     ,11.94999981  ,-3.37749910  ,9.96987915
153  ,142.763     ,11.94999981  ,-3.37749910  ,9.30522060
154  ,141.158     ,11.94999981  ,-3.37749910  ,8.64056206
155  ,139.508     ,11.94999981  ,-3.37749910  ,7.97590303
156  ,137.830     ,11.94999981  ,-3.37749910  ,7.31124449
157  ,136.141     ,11.94999981  ,-3.37749910  ,6.64658594
158  ,134.466     ,11.94999981  ,-3.37749910  ,5.98192739
159  ,132.831     ,11.94999981  ,-3.37749910  ,5.31726885
160  ,131.273     ,11.94999981  ,-3.37749910  ,4.65261030
161  ,129.828     ,11.94999981  ,-3.37749910  ,3.98795152
162  ,128.544     ,11.94999981  ,-3.37749910  ,3.32329297
163  ,127.454     ,11.94999981  ,-3.37749910  ,2.65863442
164  ,126.590     ,11.94999981  ,-3.37749910  ,1.99397576
165  ,125.966     ,11.94999981  ,-3.37749910  ,1.32931721
166  ,125.593     ,11.94999981  ,-3.37749910  ,0.66465861
167  ,125.469     ,11.94999981  ,-3.37749910  ,0.00000000
168  ,123.451     ,11.38295937  ,-3.64656329  ,0.00000000
169  ,121.194     ,10.78009987  ,-3.82118344  ,0.00000000
170  ,118.688     ,10.15703678  ,-3.89683700  ,0.00000000
171  ,115.960     ,9.52990723  ,-3.87156463  ,0.00000000
172  ,113.104     ,8.91495228  ,-3.74602056  ,0.00000000
173  ,110.353     ,8.32809925  ,-3.52345681  ,0.00000000
174  ,108.153     ,7.78454733  ,-3.20963717  ,0.00000000
175  ,107.044     ,7.29837513  ,-2.81268954  ,0.00000000
176  ,107.452     ,6.88217306  ,-2.34289479  ,0.00000000
177  ,109.093     ,6.54672146  ,-1.81242037  ,0.00000000
178  ,111.474     ,6.30070782  ,-1.23500514  ,0.00000000
179  ,114.130     ,6.15050411  ,-0.62560397  ,0.00000000
180  ,116.815     ,6.09999990  ,0.00000000  ,0.00000000
181  ,116.853     ,6.09999990  ,0.00000000  ,0.52499998
182  ,116.968     ,6.09999990  ,0.00000000  ,1.04999995
183  ,117.191     ,6.09999990  ,0.00000000  ,1.57500005
184  ,117.374     ,6.09999990  ,0.00000000  ,2.09999990
185  ,114.931     ,6.14318466  ,-0.57877183  ,2.31078076
186  ,114.511     ,6.20202494  ,-0.88621920  ,2.84310675
187  ,117.203     ,6.17867804  ,-0.77942288  ,3.45000005
188  ,119.827     ,6.12618399  ,-0.45116630  ,3.77874827
189  ,122.197     ,6.09999990  ,0.00000000  ,3.90000010
190  ,125.176     ,6.09999990  ,0.00000000  ,4.56832314
191  ,128.530     ,6.09999990  ,0.00000000  ,5.23664665
192  ,131.678     ,6.09999990  ,0.00000000  ,5.90496969
